AuthorityId,Country,Year,Family,SpeciesId,Species,sp_code,sp_n,sp_kg
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Scaridae","8c5fdf7c-c32f-4572-93de-658280e10818","Chlorurus microrhinos","C17","8","14"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Scaridae","83b0387e-75ba-4968-9824-c1ffd6ac97a9","Chlorurus sordidus","UUS","1","1"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Scaridae","492eb063-bff2-4518-a3a4-c90705034d49","Scarus altipinnis","C67","1","3"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Scaridae","583b69bc-3753-40c5-a400-a7c298498ce8","Scarus dimidiatus","C69","1","1"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Scaridae","a76eb220-645d-4d20-8e02-59ebe6feb207","Scarus forsteni","USF","2","1"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Scaridae","3d4a74e2-61e1-4cfc-ab1b-cc33f1b85d25","Scarus ghobban","USY","2","2"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Scaridae","f130a711-bc45-47b6-9e58-292dd967a176","Scarus longipinnis","C73","1","1"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Scaridae","27d1512d-3590-4e39-afa8-086113c39956","Scarus niger","UVN","2","2"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Scaridae","b5667cf6-8bf8-4168-a2dc-32c6ada261bc","Scarus oviceps","C74","1","1"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Scaridae","0f1e9358-7115-457a-a4c3-eefed9bde952","Scarus rivulatus","C77","3","3"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Scaridae","adb8b386-7f63-43ac-b3e1-2d900ede66c9","Scarus rubroviolaceus","UVE","2","2"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Scombridae","33f269bb-db9e-455f-95f1-40209a2a6da1","Gymnosarda unicolor","DOT","1","4"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Scombridae","957e4ec8-b3e1-47be-9ef5-0a428d5a2e06","Katsuwonus pelamis","SKJ","1","4"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Scombridae","24d9da0e-155e-4097-a4fe-7654facdd51b","Rastrelliger kanagurta","RAG","1","0"
"f0f5b702-f62c-4ede-887a-16b404071777","FJ","2022","Scombridae","e512a610-d40a-42c7-a730-947b501d32cf","Scomberomorus commerson","COM","1","6"
